dataset,question,raw_contains_answer,raw_word_f1,raw_rouge_l,raw_is_refusal,finetuned_contains_answer,finetuned_word_f1,finetuned_rouge_l,finetuned_is_refusal,unlearned_contains_answer,unlearned_word_f1,unlearned_rouge_l,unlearned_is_refusal
forget,Name the two major classes of basement terrain that dominate Brazil's geology.,False,0.058,0.0714,False,False,0.1538,0.125,False,False,0.1538,0.125,False
forget,Which three broad controls govern Brazil's climatic patterns as stated in the book?,False,0.0,0.0,True,False,0.0,0.0,False,False,0.375,0.2353,False
forget,"According to the text, what Köppen-type climate characterizes the northern Amazon and what is its ra",False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False
forget,How do soils produced under humid tropical weathering conditions in Brazil typically appear?,False,0.0308,0.0185,False,False,0.0,0.0,False,False,0.0,0.0,False
forget,How does the book describe Brazil’s overall physiography?,False,0.0964,0.0748,False,False,0.2326,0.2083,False,False,0.0,0.0,False
forget,What is the approximate area and percentage of Brazil occupied by the Amazon biome according to the ,False,0.1379,0.125,False,False,0.3704,0.1935,False,False,0.0,0.0,False
forget,List the main forest and landscape types included within the Amazon biome as given in the text.,False,0.0541,0.0455,False,False,0.1,0.0833,False,False,0.1,0.0769,False
forget,"What is the reported area range and approximate percentage of Brazil covered by the Cerrado, and wha",False,0.4681,0.3462,False,False,0.2909,0.1967,False,False,0.2143,0.2,False
forget,What were the Atlantic Forest's original extent and the approximate proportion that remains today?,False,0.1389,0.092,False,False,0.2424,0.2353,False,False,0.0,0.0,False
forget,Provide the approximate size range of the Brazilian Pantanal and the Brazilian states where it is ce,False,0.4528,0.3714,False,False,0.1765,0.1951,False,False,0.1481,0.1212,False
forget,"How long is Brazil’s coastline as stated, and which coastal ecosystems are listed as present there?",False,0.1765,0.1043,False,False,0.0588,0.0556,False,False,0.0741,0.069,False
forget,Name the four major river basins identified as organizing Brazil's surface hydrology.,False,0.3226,0.1818,False,False,0.6667,0.5882,False,False,0.7692,0.7143,False
forget,How does the book characterize the Amazon basin in terms of drainage?,False,0.4667,0.3636,False,False,0.3636,0.2778,False,False,0.48,0.3846,False
